Key,en,hi,ar,es,fr
Registration failed! Please try again,Registration failed! Please try again,पंजीकरण विफल रहा! कृपया पुन: प्रयास करें,فشل التسجيل! يرجى المحاولة مرة أخرى,¡El registro falló! Por favor inténtalo de nuevo,L'inscription a échoué ! Veuillez réessayer
Failed to fetch user information. Please try again,Failed to fetch user information. Please try again,उपयोगकर्ता जानकारी लाने में विफल. कृपया पुन: प्रयास करें,فشل في جلب معلومات المستخدم. يرجى المحاولة مرة أخرى,No se pudo recuperar la información del usuario. Por favor inténtalo de nuevo,Échec de la récupération des informations utilisateur. Veuillez réessayer
Failed to generate user token! Please try again,Failed to generate user token! Please try again,उपयोगकर्ता टोकन जनरेट करने में विफल! कृपया पुन: प्रयास करें,فشل في إنشاء الرمز المميز للمستخدم! يرجى المحاولة مرة أخرى,¡No se pudo generar el token de usuario! Por favor inténtalo de nuevo,Échec de la génération du jeton utilisateur ! Veuillez réessayer
User successfully registered,User successfully registered,उपयोगकर्ता सफलतापूर्वक पंजीकृत हो गया,تم تسجيل المستخدم بنجاح,Usuario registrado exitosamente,Utilisateur enregistré avec succès
User dashboard data fetch successfully!,User dashboard data fetch successfully!,उपयोगकर्ता डैशबोर्ड डेटा सफलतापूर्वक प्राप्त हुआ!,تم جلب بيانات لوحة تحكم المستخدم بنجاح!,¡Los datos del panel de usuario se recuperaron correctamente!,Les données du tableau de bord utilisateur ont été récupérées avec succès !
Logout success!,Logout success!,लॉगआउट सफलता!,نجاح تسجيل الخروج!,¡Cerrar sesión exitosamente!,Déconnexion réussie !
User Profile data fetch successfully!,User Profile data fetch successfully!,उपयोगकर्ता प्रोफ़ाइल डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات ملف تعريف المستخدم بنجاح!,¡Los datos del perfil de usuario se obtuvieron correctamente!,Les données du profil utilisateur ont été récupérées avec succès !
error,error,गलती,خطأ,error,erreur
 Profile data updated successfully!, Profile data updated successfully!, प्रोफ़ाइल डेटा सफलतापूर्वक अपडेट किया गया!, تم تحديث بيانات الملف الشخصي بنجاح!, ¡Datos de perfil actualizados exitosamente!, Données de profil mises à jour avec succès !
 Password changed successfully!, Password changed successfully!, पासवर्ड सफलतापूर्वक बदला गया!, تم تغيير كلمة المرور بنجاح!, ¡La contraseña se cambió correctamente!, Mot de passe modifié avec succès !
Name,Name,नाम,اسم,Nombre,Nom
Active,Active,सक्रिय,نشيط,Activo,Actif
Setup Section,Setup Section,सेटअप अनुभाग,قسم الإعداد,Sección de configuración,Section de configuration
Tags,Tags,टैग,العلامات,Etiquetas,Balises
Submit,Submit,जमा करना,يُقدِّم,Entregar,Soumettre
Update,Update,अद्यतन,تحديث,Actualizar,Mise à jour
options,options,विकल्प,خيارات,opciones,choix
FIAT,FIAT,व्यवस्थापत्र,فيات,FÍAT,DÉCRET
CRYPTO,CRYPTO,क्रिप्टो,تشفير,CRIPTO,CRYPTO
Extensions,Extensions,एक्सटेंशन,ملحقات,Extensiones,Rallonges
User Care,User Care,उपयोगकर्ता देखभाल,رعاية المستخدم,Atención al usuario,Entretien utilisateur
Title,Title,शीर्षक,عنوان,Título,Titre
Payment Required,Payment Required,भुगतान आवश्यक है,الدفع مطلوب,Pago requerido,Paiement requis
Message,Message,संदेश,رسالة,Mensaje,Message
Too Many Requests,Too Many Requests,बहुत सारे अनुरोध,طلبات كثيرة جدًا,Demasiadas solicitudes,Trop de demandes
Service Unavailable,Service Unavailable,सेवा अनुपलब्ध है,الخدمة غير متوفرة,Servicio No Disponible,service non disponible
Useful Links,Useful Links,उपयोगी कड़ियां,روابط مفيدة,Enlaces útiles,Liens utiles
Login Now,Login Now,अभी लॉगिन करें,تسجيل الدخول الآن,Iniciar sesión ahora,Connectez-vous maintenant
Please Enter the Code,Please Enter the Code,कृपया कोड दर्ज करें,الرجاء إدخال الرمز,Por favor ingrese el código,Veuillez entrer le code
label,label,लेबल,ملصق,etiqueta,étiquette
Optional,Optional,वैकल्पिक,خياري,Opcional,Facultatif
next,next,अगला,التالي,próximo,suivant
navigation,navigation,मार्गदर्शन,ملاحة,navegación,navigation
Showing,Showing,दिखा,عرض,Demostración,Affichage
to,to,को,ل,a,à
of,of,का,ل,de,de
results,results,परिणाम,نتائج,resultados,résultats
prev,prev,पिछला,السابق,anterior,précédent
Access Denied! Unauthenticated,Access Denied! Unauthenticated,पहुंच अस्वीकृत! अपुष्ट,تم الرفض! غير مصادق عليه,¡Acceso denegado! No autenticado,Accès refusé! Non authentifié
"Invalid OTP, Please try again","Invalid OTP, Please try again","अमान्य ओटीपी, कृपया पुनः प्रयास करें",كلمة المرور لمرة واحدة (OTP) غير صالحة، يرجى المحاولة مرة أخرى,"OTP no válida, inténtelo de nuevo","OTP invalide, veuillez réessayer"
Account Successfully verified,Account Successfully verified,खाता सफलतापूर्वक सत्यापित,تم التحقق من الحساب بنجاح,Cuenta verificada exitosamente,Compte vérifié avec succès
Password ,Password ,पासवर्ड ,كلمة المرور ,Contraseña ,Mot de passe 
Reset,Reset,रीसेट करें,إعادة ضبط,Reiniciar,Réinitialiser
Enter your account email address or username,Enter your account email address or username,अपना खाता ईमेल पता या उपयोगकर्ता नाम दर्ज करें,أدخل عنوان البريد الإلكتروني الخاص بحسابك أو اسم المستخدم,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta,Entrez l'adresse e-mail ou le nom d'utilisateur de votre compte
Username OR Email Address,Username OR Email Address,उपयोगकर्ता का नाम या ईमेल पता,اسم المستخدم أو عنوان البريد الإلكتروني,Nombre de usuario O dirección de correo electrónico,Nom d'utilisateur OU adresse e-mail
Send,Send,भेजना,يرسل,Enviar,Envoyer
Reset ,Reset ,रीसेट करें ,إعادة ضبط ,Reiniciar ,Réinitialiser 
New Password,New Password,नया पासवर्ड,كلمة المرور الجديدة,Nueva contraseña,Nouveau mot de passe
Confirm Password,Confirm Password,पासवर्ड की पुष्टि कीजिये,تأكيد كلمة المرور,confirmar Contraseña,Confirmez le mot de passe
Reset Password,Reset Password,पासवर्ड रीसेट,إعادة تعيين كلمة المرور,Restablecer contraseña,Réinitialiser le mot de passe
Welcome To,Welcome To,आपका स्वागत है,مرحبا بكم في,Bienvenido a,Bienvenue à
Admin Panel,Admin Panel,व्यवस्थापक पैनल,لوحة الإدارة,Panel de administración,Panneau d'administration
Email Address,Email Address,मेल पता,عنوان البريد الإلكتروني,Dirección de correo electrónico,Adresse email
No data found!,No data found!,डाटा प्राप्त नहीं हुआ!,لم يتم العثور على بيانات!,¡No se encontraron datos!,Aucune donnée trouvée !
Category Name,Category Name,श्रेणी नाम,اسم الفئة,Nombre de categoría,Nom de la catégorie
Created Time,Created Time,निर्मित समय,وقت الإنشاء,Hora de creación,Temps de création
Symbol,Symbol,प्रतीक,رمز,Símbolo,Symbole
Default,Default,गलती करना,تقصير,Por defecto,Défaut
Sender,Sender,प्रेषक,مرسل,Remitente,Expéditeur
Receiver,Receiver,रिसीवर,المتلقي,Receptor,Récepteur
Add Car Type,Add Car Type,कार का प्रकार जोड़ें,أضف نوع السيارة,Agregar tipo de auto,Ajouter un type de voiture
placeholder,placeholder,प्लेसहोल्डर,العنصر النائب,marcador de posición,espace réservé
Write Name,Write Name,नाम लिखें,اكتب الاسم,Escribir nombre,Écrire le nom
text,text,मूलपाठ,نص,texto,texte
Add,Add,जोड़ना,يضيف,Agregar,Ajouter
Edit Car Type,Edit Car Type,कार का प्रकार संपादित करें,تحرير نوع السيارة,Editar tipo de coche,Modifier le type de voiture
Enter Name,Enter Name,नाम दर्ज करें,أدخل الاسم,Introduzca el nombre,Entrez le nom
button,button,बटन,زر,botón,bouton
Cancel,Cancel,रद्द करना,يلغي,Cancelar,Annuler
Add Language,Add Language,भाषा जोड़ें,إضافة لغة,Agregar idioma,Ajouter une langue
Edit Language,Edit Language,भाषा संपादित करें,تحرير اللغة,Editar idioma,Modifier la langue
Add Announcement,Add Announcement,घोषणा जोड़ें,إضافة إعلان,Agregar anuncio,Ajouter une annonce
Category,Category,वर्ग,فئة,Categoría,Catégorie
Select Category,Select Category,श्रेणी चुनना,حدد الفئة,Seleccionar categoría,Sélectionnez une catégorie
Select Announcement Tags,Select Announcement Tags,घोषणा टैग चुनें,حدد علامات الإعلان,Seleccionar etiquetas de anuncio,Sélectionnez les balises d'annonce
Add Brand,Add Brand,ब्रांड जोड़ें,أضف علامة تجارية,Agregar marca,Ajouter une marque
Add FAQ Item,Add FAQ Item,FAQ आइटम जोड़ें,إضافة عنصر الأسئلة الشائعة,Agregar artículo de preguntas frecuentes,Ajouter un élément de FAQ
Add Gallery Item,Add Gallery Item,गैलरी आइटम जोड़ें,إضافة عنصر المعرض,Agregar elemento de galería,Ajouter un élément de galerie
Add How We Do Item,Add How We Do Item,हम कैसे करते हैं आइटम जोड़ें,أضف كيف نفعل البند,Agregar artículo Cómo lo hacemos,Ajouter un article Comment nous faisons
Add Security Item,Add Security Item,सुरक्षा आइटम जोड़ें,إضافة عنصر الأمان,Agregar elemento de seguridad,Ajouter un élément de sécurité
Add Service Item,Add Service Item,सेवा मद जोड़ें,إضافة عنصر الخدمة,Agregar artículo de servicio,Ajouter un article de service
Add Social Icon,Add Social Icon,सामाजिक चिह्न जोड़ें,إضافة أيقونة الاجتماعية,Agregar ícono social,Ajouter une icône sociale
Add Statistics Item,Add Statistics Item,सांख्यिकी आइटम जोड़ें,إضافة عنصر الإحصائيات,Agregar elemento de estadísticas,Ajouter un élément de statistiques
Add Testimonial Item,Add Testimonial Item,प्रशंसापत्र आइटम जोड़ें,إضافة عنصر الشهادة,Agregar artículo de testimonio,Ajouter un élément de témoignage
Add Why Choose Us Item,Add Why Choose Us Item,हमें क्यों चुनें आइटम जोड़ें,أضف سبب اختيارنا للمنتج,Agregar artículo ¿Por qué elegirnos?,Ajouter Pourquoi nous choisir
Add Page,Add Page,पृष्ठ जोड़ें,إضافة صفحة,Agregar página,Ajouter une page
Edit Page,Edit Page,संपादित पेज,تحرير الصفحة,Editar página,Modifier la page
Add Admin,Add Admin,व्यवस्थापक जोड़ें,إضافة المشرف,Agregar administrador,Ajouter un administrateur
countryFlag,countryFlag,देश का झंडा,بلد العلم,paísbandera,paysDrapeau
Admin Profile Image,Admin Profile Image,व्यवस्थापक प्रोफ़ाइल छवि,صورة الملف الشخصي للمشرف,Imagen de perfil de administrador,Image du profil d'administrateur
Role,Role,भूमिका,دور,Role,Rôle
Add New Category,Add New Category,नई श्रेणी जोड़ें,إضافة فئة جديدة,Agregar nueva categoría,Ajouter une nouvelle catégorie
Add Currency,Add Currency,मुद्रा जोड़ें,أضف العملة,Agregar moneda,Ajouter une devise
Country Flag,Country Flag,देश का झंडा,علم الدولة,Bandera del país,Drapeau du pays
Rate,Rate,दर,معدل,Tasa,Taux
Add New Screen,Add New Screen,नई स्क्रीन जोड़ें,إضافة شاشة جديدة,Agregar nueva pantalla,Ajouter un nouvel écran
Add New Permission,Add New Permission,नई अनुमति जोड़ें,إضافة إذن جديد,Agregar nuevo permiso,Ajouter une nouvelle autorisation
selectRole,selectRole,भूमिका चुनें,حدد الدور,seleccionarRol,selectRôle
Edit Permission,Edit Permission,अनुमति संपादित करें,تحرير إذن,Editar permiso,Modifier l'autorisation
Add New Role,Add New Role,नई भूमिका जोड़ें,إضافة دور جديد,Agregar nuevo rol,Ajouter un nouveau rôle
Edit Role,Edit Role,भूमिका संपादित करें,تحرير الدور,Editar rol,Modifier le rôle
Edit Admin,Edit Admin,व्यवस्थापक संपादित करें,تحرير المشرف,Editar administrador,Modifier l'administrateur
Edit Category,Edit Category,श्रेणी संपादित करें,تحرير الفئة,Editar categoría,Modifier la catégorie
Edit Currency,Edit Currency,मुद्रा संपादित करें,تحرير العملة,Editar moneda,Modifier la devise
Select Country,Select Country,देश चुनें,اختر البلد,Seleccionar país,Sélectionnez un pays
Edit Screen,Edit Screen,स्क्रीन संपादित करें,تحرير الشاشة,Editar pantalla,Écran Modifier
Update Extension,Update Extension,एक्सटेंशन अपडेट करें,تحديث التمديد,Actualizar extensión,Mettre à jour l'extension
Send Email,Send Email,ईमेल भेजें,إرسال البريد الإلكتروني,Enviar correo electrónico,Envoyer un e-mail
Close,Close,बंद करना,يغلق,Cerca,Fermer
Send Test Mail,Send Test Mail,परीक्षण मेल भेजें,إرسال بريد الاختبار,Enviar correo de prueba,Envoyer un courrier test
"This ticket is solved, you can","This ticket is solved, you can","यह टिकट हल हो गया है, आप कर सकते हैं",تم حل هذه التذكرة، يمكنك,"Este ticket está solucionado, puedes","Ce ticket est résolu, vous pouvez"
Pending Tickets,Pending Tickets,लंबित टिकट,التذاكر المعلقة,Entradas pendientes,Billets en attente
View All,View All,सभी को देखें,عرض الكل,Ver todo,Tout afficher
Active Tickets,Active Tickets,सक्रिय टिकट,التذاكر النشطة,Entradas activas,Billets actifs
Solved Tickets,Solved Tickets,हल टिकट,تذاكر محلولة,Entradas resueltas,Billets résolus
All Tickets,All Tickets,सभी टिकट,جميع التذاكر,Todas las entradas,Tous les billets
Action,Action,कार्रवाई,فعل,Acción,Action
Mark as Solved,Mark as Solved,हल के रूप में चिह्नित करें,"وضع علامة ""محلول"".",Marcar como resuelto,Marquer comme résolu
Support Details,Support Details,समर्थन विवरण,تفاصيل الدعم,Detalles de soporte,Détails de l'assistance
Subject,Subject,विषय,موضوع,Sujeto,Sujet
Description,Description,विवरण,وصف,Descripción,Description
Attachments,Attachments,संलग्नक,المرفقات,Adjuntos,Pièces jointes
Admin,Admin,व्यवस्थापक,مسؤل,Administración,Administrateur
Developed by,Developed by,द्वारा विकसित किया गया,تم تطويره بواسطة,Desarrollado por,Développé par
Settings,Settings,सेटिंग्स,إعدادات,Ajustes,Paramètres
Layout Mode,Layout Mode,लेआउट मोड,وضع التخطيط,Modo de diseño,Mode Mise en page
Dark Mode,Dark Mode,डार्क मोड,الوضع المظلم,Modo oscuro,Mode sombre
Topbar Color,Topbar Color,टॉपबार रंग,لون الشريط العلوي,Color de la barra superior,Couleur de la barre supérieure
Light Mode,Light Mode,लाइट मोड,وضع الضوء,Modo de luz,Mode lumière
Sidebar Color,Sidebar Color,साइडबार का रंग,لون الشريط الجانبي,Color de la barra lateral,Couleur de la barre latérale
Min Sidebar Color,Min Sidebar Color,न्यूनतम साइडबार रंग,الحد الأدنى للون الشريط الجانبي,Color mínimo de la barra lateral,Couleur minimale de la barre latérale
Direction,Direction,दिशा,اتجاه,Dirección,Direction
RTL Support,RTL Support,आरटीएल समर्थन,دعم RTL,Soporte RTL,Prise en charge RTL
Reset To Default,Reset To Default,वितथ पर ले जाएं,إعادة التعيين إلى الافتراضي,Restablecer los valores predeterminados,Réinitialiser aux valeurs par défaut
Notification,Notification,अधिसूचना,إشعار,Notificación,Notification
Clear All,Clear All,सभी साफ करें,مسح الكل,Borrar todo,Tout effacer
No new notification found!,No new notification found!,कोई नई अधिसूचना नहीं मिली!,لم يتم العثور على إشعار جديد!,¡No se encontró ninguna notificación nueva!,Aucune nouvelle notification trouvée !
Admin Profile,Admin Profile,व्यवस्थापक प्रोफ़ाइल,الملف الشخصي للمسؤول,Perfil de administrador,Profil d'administrateur
Change Password,Change Password,पासवर्ड बदलें,تغيير كلمة المرور,Cambiar la contraseña,Changer le mot de passe
Setup Currency,Setup Currency,सेटअप मुद्रा,عملة الإعداد,Configuración de moneda,Devise de configuration
Booking Details,Booking Details,बुकिंग विवरण,تفاصيل الحجز,Detalles de la reserva,Détails de la réservation
Car Booking,Car Booking,कार बुकिंग,حجز السيارات,Reserva de coche,Réservation de voiture
Setup Web Content,Setup Web Content,वेब सामग्री सेटअप करें,إعداد محتوى الويب,Configurar contenido web,Configurer le contenu Web
Banner Section,Banner Section,बैनर अनुभाग,قسم البانر,Sección de pancartas,Section bannière
About Section,About Section,अनुभाग के बारे में,حول القسم,Acerca de la sección,À propos de la section
Security Section,Security Section,सुरक्षा अनुभाग,قسم الأمن,Sección de Seguridad,Section de sécurité
Service Section,Service Section,सेवा अनुभाग,قسم الخدمة,Sección de Servicio,Section des services
Statistics Section,Statistics Section,सांख्यिकी अनुभाग,قسم الإحصائيات,Sección de Estadísticas,Section Statistiques
Contact Section,Contact Section,संपर्क अनुभाग,قسم الاتصال,Sección de contacto,Rubrique Contact
Why Choose Us Section,Why Choose Us Section,हमें अनुभाग क्यों चुनें,لماذا تختارنا القسم,Sección Por qué elegirnos,Section Pourquoi nous choisir
FAQ Section,FAQ Section,अक्सर पूछे जाने वाले प्रश्न अनुभाग,قسم الأسئلة الشائعة,Sección de preguntas frecuentes,Section FAQ
App Section,App Section,ऐप अनुभाग,قسم التطبيقات,Sección de aplicaciones,Section des applications
Testimonial Section,Testimonial Section,प्रशंसापत्र अनुभाग,قسم الشهادات,Sección de testimonios,Section témoignage
Announcement  Category,Announcement  Category,घोषणा श्रेणी,فئة الإعلان,Categoría de anuncio,Catégorie d'annonce
Announcement Section,Announcement Section,घोषणा अनुभाग,قسم الإعلان,Sección de anuncios,Section Annonce
Footer Section,Footer Section,पाद लेख अनुभाग,قسم التذييل,Sección de pie de página,Section de pied de page
Auth Section,Auth Section,प्रामाणिक अनुभाग,قسم المصادقة,Sección de autenticación,Section d'authentification
Bonus,Bonus,बोनस,علاوة,Prima,Prime
Admin Care,Admin Care,व्यवस्थापक देखभाल,رعاية المشرف,Atención administrativa,Soins administratifs
All Admin Roles,All Admin Roles,सभी व्यवस्थापक भूमिकाएँ,جميع أدوار المشرف,Todas las funciones de administrador,Tous les rôles d'administrateur
All Permissions,All Permissions,सभी अनुमतियाँ,جميع الأذونات,Todos los permisos,Toutes les autorisations
Email To Admin,Email To Admin,एडमिन को ईमेल करें,البريد الإلكتروني إلى المشرف,Enviar correo electrónico al administrador,Envoyer un e-mail à l'administrateur
All Admin,All Admin,सभी व्यवस्थापक,كل المشرف,Todos los administradores,Tous les administrateurs
App Settings,App Settings,ऐप सेटिंग्स,إعدادات التطبيق,Configuración de la aplicación,Paramètres de l'application
Onboard Screen,Onboard Screen,ऑनबोर्ड स्क्रीन,شاشة على متن الطائرة,Pantalla integrada,Écran embarqué
Splash Screen,Splash Screen,स्प्लैश स्क्रीन,شاشة البداية,Pantalla de bienvenida,Écran de démarrage
App Urls,App Urls,ऐप यूआरएल,عناوين URL للتطبيق,URL de aplicaciones,URL d'application
Car Area,Car Area,कार क्षेत्र,منطقة السيارة,Área de coches,Zone de voiture
Car Area Create,Car Area Create,कार क्षेत्र बनाएँ,إنشاء منطقة السيارة,Crear área de coche,Création d'un espace automobile
Area Name,Area Name,क्षेत्र का नाम,اسم المنطقة,Nombre del área,Nom de la zone
Type,Type,प्रकार,يكتب,Tipo,Taper
Car Area Edit,Car Area Edit,कार क्षेत्र संपादित करें,تحرير منطقة السيارة,Área del coche Editar,Zone de voiture Modifier
Add Area,Add Area,क्षेत्र जोड़ें,أضف منطقة,Agregar área,Ajouter une zone
Last Edit By,Last Edit By,अंतिम संपादन द्वारा,التعديل الأخير بواسطة,Última edición por,Dernière modification par
Enable,Enable,सक्षम,يُمكَِن,Permitir,Activer
Disable,Disable,अक्षम करना,إبطال,Desactivar,Désactiver
Bookings,Bookings,बुकिंग के,الحجوزات,Reservas,Réservations
Car Model,Car Model,कार मॉडल,موديل السيارة,Modelo de coche,Modèle de voiture
Created At,Created At,पर बनाया गया,تم الإنشاء في,Creado en,Créé à
Send Reply,Send Reply,उत्तर भेजें,إرسال الرد,Enviar respuesta,Envoyer la réponse
Write Subject,Write Subject,विषय लिखें,كتابة الموضوع,Escribir Asunto,Écrire le sujet
Details,Details,विवरण,تفاصيل,Detalles,Détails
Car Information,Car Information,कार की जानकारी,معلومات السيارة,Información del coche,Informations sur la voiture
Model,Model,नमूना,نموذج,Modelo,Modèle
Number,Number,संख्या,رقم,Número,Nombre
Seat Number,Seat Number,सीट संख्या,رقم المقعد,Número de asiento,Numéro de siège
Experience Year,Experience Year,अनुभव वर्ष,سنة الخبرة,Año de experiencia,Année d'expérience
Booking Information,Booking Information,बुकिंग जानकारी,معلومات الحجز,Información de reserva,Informations de réservation
Location,Location,जगह,موقع,Ubicación,Emplacement
Destination,Destination,गंतव्य,وجهة,Destino,Destination
Phone,Phone,फ़ोन,هاتف,Teléfono,Téléphone
Round Trip Date,Round Trip Date,राउंड ट्रिप की तारीख,تاريخ الرحلة ذهابًا وإيابًا,Fecha de ida y vuelta,Date du voyage aller-retour
Round Trip Time,Round Trip Time,राउंड ट्रिप का समय,وقت الرحلة ذهابًا وإيابًا,Tiempo de ida y vuelta,Temps de trajet aller-retour
Car Types,Car Types,कार के प्रकार,أنواع السيارات,Tipos de coches,Types de voitures
Add Type,Add Type,प्रकार जोड़ें,أضف النوع,Agregar tipo,Ajouter un type
Cars,Cars,कारें,سيارات,Coches,Voitures
Car Create,Car Create,कार बनाएं,إنشاء سيارة,Crear coche,Créer une voiture
Image,Image,छवि,صورة,Imagen,Image
Select Area,Select Area,क्षेत्र का चयन करें,حدد المنطقة,Seleccionar área,Sélectionnez une zone
Select Type,Select Type,प्रकार चुनें,حدد النوع,Seleccionar tipo,Sélectionnez le type
Write Car Model,Write Car Model,कार मॉडल लिखें,كتابة موديل السيارة,Escribir modelo de coche,Écrire un modèle de voiture
Car Number,Car Number,कार नंबर,رقم السيارة,Número de coche,Numéro de voiture
Write Seat Number,Write Seat Number,सीट नंबर लिखें,كتابة رقم الجلوس,Escribir número de asiento,Écrire le numéro de siège
Write Experience Year,Write Experience Year,अनुभव वर्ष लिखें,كتابة سنة الخبرة,Escribir año de experiencia,Année d'expérience en écriture
Car Fees,Car Fees,कार शुल्क,رسوم السيارة,Tarifas de coche,Frais de voiture
Write Fees,Write Fees,फीस लिखें,كتابة الرسوم,Escribir tarifas,Frais d'écriture
Car Edit,Car Edit,कार संपादित करें,تحرير السيارة,Coche Editar,Voiture Modifier
Write Car number,Write Car number,कार का नंबर लिखें,كتابة رقم السيارة,Escribir número de auto,Écrire le numéro de voiture
Add Car,Add Car,कार जोड़ें,أضف سيارة,Añadir coche,Ajouter une voiture
Public,Public,जनता,عام,Público,Publique
Booking Verification,Booking Verification,बुकिंग सत्यापन,التحقق من الحجز,Verificación de reserva,Vérification de la réservation
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,अपना खाता सत्यापित करने की आवश्यकता है. कृपया प्राधिकरण कोड प्राप्त करने के लिए अपना मेल इनबॉक्स जांचें,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.,Besoin de vérifier votre compte. Veuillez vérifier votre boîte de réception pour obtenir le code d'autorisation
You can resend the code after,You can resend the code after,आप इसके बाद कोड दोबारा भेज सकते हैं,يمكنك إعادة إرسال الرمز بعد ذلك,Puedes reenviar el código después,Vous pouvez renvoyer le code après
Time,Time,समय,وقت,Tiempo,Temps
Back to,Back to,वापस जाएँ,العودة إلى,Volver a,Retour à
login,login,लॉग इन करें,تسجيل الدخول,acceso,se connecter
Home,Home,घर,بيت,Hogar,Maison
Contact Messages,Contact Messages,संपर्क संदेश,رسائل الاتصال,Mensajes de contacto,Messages de contact
Messages,Messages,संदेशों,رسائل,Mensajes,Messages
Message Details,Message Details,संदेश विवरण,تفاصيل الرسالة,Detalles del mensaje,Détails du message
Reply Message,Reply Message,प्रतिक्रिया संदेश,رسالة الرد,Responder mensaje,Message de réponse
Sent,Sent,भेजा,مرسل,Enviado,Envoyé
GDPR Cookie,GDPR Cookie,जीडीपीआर कुकी,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات,Cookie RGPD,Cookie RGPD
Policy Link,Policy Link,नीति लिंक,رابط السياسة,Enlace de política,Lien vers la politique
Total Users,Total Users,कुल उपयोगकर्ता,إجمالي المستخدمين,Usuarios totales,Nombre total d'utilisateurs
Active Users,Active Users,सक्रिय उपयोगकर्ता,المستخدمون النشطون,Usuarios activos,Utilisateurs actifs
Total,Total,कुल,المجموع,Total,Total
Verified Users,Verified Users,सत्यापित उपयोगकर्ता,المستخدمون الذين تم التحقق منهم,Usuarios verificados,Utilisateurs vérifiés
Banned Users,Banned Users,प्रतिबंधित उपयोगकर्ता,المستخدمون المحظورون,Usuarios prohibidos,Utilisateurs bannis
Total Announcements,Total Announcements,कुल घोषणाएँ,إجمالي الإعلانات,Anuncios totales,Total des annonces
Active Announcements,Active Announcements,सक्रिय घोषणाएँ,الإعلانات النشطة,Anuncios activos,Annonces actives
